rank_test_score,mean_test_score,std_test_score,param_C,param_penalty,param_solver,param_class_weight,param_max_iter
1,0.7423529411764707,0.0211764705882353,1.0,l2,saga,,1000
1,0.7423529411764707,0.0211764705882353,1.0,l2,saga,,2000
3,0.74,0.027186400019509054,1.0,l2,liblinear,,1000
3,0.74,0.027186400019509054,1.0,l2,liblinear,,2000
5,0.7388235294117648,0.01989592297092679,1.0,l1,saga,,1000
5,0.7388235294117648,0.01989592297092679,1.0,l1,saga,,2000
7,0.7376470588235294,0.024282079341823894,10.0,l2,saga,,2000
7,0.7376470588235294,0.022812611093723893,10.0,l2,liblinear,,2000
7,0.7376470588235294,0.024282079341823894,10.0,l2,saga,,1000
7,0.7376470588235294,0.022812611093723893,10.0,l2,liblinear,,1000
11,0.7364705882352942,0.02051246561666199,10.0,l1,saga,,1000
11,0.7364705882352942,0.02051246561666199,10.0,l1,saga,,2000
11,0.7364705882352942,0.02051246561666199,10.0,l1,liblinear,,2000
11,0.7364705882352942,0.02051246561666199,10.0,l1,liblinear,,1000
15,0.7352941176470589,0.02439581335685616,100.0,l2,liblinear,,2000
15,0.7352941176470589,0.02439581335685616,100.0,l2,saga,,2000
15,0.7352941176470589,0.02439581335685616,100.0,l1,liblinear,,1000
15,0.7352941176470589,0.02439581335685616,100.0,l1,saga,,1000
15,0.7352941176470589,0.02439581335685616,100.0,l2,liblinear,,1000
15,0.7352941176470589,0.02439581335685616,100.0,l2,saga,,1000
