hidden_layers,n_layers,total_units,learning_rate,alpha,batch_size,n_iterations,val_accuracy,val_precision,val_recall,val_f1_score,val_roc_auc,test_accuracy,test_f1_score,test_roc_auc
"(64, 32, 16)",3,112,0.004,0.0003,10,22,0.7466666666666667,0.7768595041322314,0.8952380952380953,0.831858407079646,0.741164021164021,0.7333333333333333,0.8181818181818182,0.7470899470899471
"(64, 32, 16)",3,112,0.004,0.0003,11,21,0.7266666666666667,0.7807017543859649,0.8476190476190476,0.8127853881278538,0.7496296296296296,0.7466666666666667,0.8173076923076923,0.7913227513227513
"(64, 32, 16)",3,112,0.004,0.0003,12,18,0.74,0.7894736842105263,0.8571428571428571,0.821917808219178,0.7642328042328043,0.7533333333333333,0.821256038647343,0.794074074074074
"(64, 32, 16)",3,112,0.004,0.0003,13,29,0.7333333333333333,0.7777777777777778,0.8666666666666667,0.8198198198198198,0.7405291005291006,0.78,0.8493150684931506,0.7898412698412699
"(64, 32, 16)",3,112,0.004,0.0004,10,20,0.7266666666666667,0.7758620689655172,0.8571428571428571,0.8144796380090498,0.7576719576719577,0.8,0.8598130841121495,0.8162962962962963
"(64, 32, 16)",3,112,0.004,0.0004,11,26,0.6933333333333334,0.7322834645669292,0.8857142857142857,0.8017241379310345,0.7104761904761906,0.7733333333333333,0.8468468468468469,0.7887830687830687
"(64, 32, 16)",3,112,0.004,0.0004,12,23,0.7666666666666667,0.7777777777777778,0.9333333333333333,0.8484848484848485,0.7648677248677248,0.7666666666666667,0.8458149779735683,0.7811640211640211
"(64, 32, 16)",3,112,0.004,0.0004,13,23,0.7266666666666667,0.7666666666666667,0.8761904761904762,0.8177777777777778,0.7161904761904762,0.7533333333333333,0.832579185520362,0.7743915343915344
"(64, 32, 16)",3,112,0.004,0.0005,10,18,0.72,0.7647058823529411,0.8666666666666667,0.8125,0.7657142857142858,0.7333333333333333,0.8130841121495327,0.7765079365079365
"(64, 32, 16)",3,112,0.004,0.0005,11,20,0.7333333333333333,0.7981651376146789,0.8285714285714286,0.8130841121495327,0.731005291005291,0.7333333333333333,0.8058252427184466,0.7631746031746031
"(64, 32, 16)",3,112,0.004,0.0005,12,22,0.72,0.7603305785123967,0.8761904761904762,0.8141592920353983,0.7288888888888889,0.74,0.8266666666666667,0.7580952380952382
"(64, 32, 16)",3,112,0.004,0.0005,13,23,0.7333333333333333,0.7777777777777778,0.8666666666666667,0.8198198198198198,0.7540740740740741,0.74,0.821917808219178,0.780952380952381
"(64, 32, 16)",3,112,0.004,0.0006,10,33,0.6866666666666666,0.7788461538461539,0.7714285714285715,0.7751196172248804,0.7075132275132275,0.7266666666666667,0.7939698492462312,0.7894179894179894
"(64, 32, 16)",3,112,0.004,0.0006,11,25,0.7,0.7830188679245284,0.7904761904761904,0.7867298578199052,0.7456084656084656,0.7466666666666667,0.819047619047619,0.7803174603174603
"(64, 32, 16)",3,112,0.004,0.0006,12,33,0.7,0.7727272727272727,0.8095238095238095,0.7906976744186046,0.7257142857142859,0.7533333333333333,0.8294930875576036,0.7635978835978836
