hidden_layers,n_layers,total_units,learning_rate,alpha,batch_size,n_iterations,val_mae,val_rmse,test_mae,test_rmse
"(64, 32)",2,96,0.003,0.0001,6,15,0.36144831071861433,0.4634543720544308,0.34298142041233964,0.4248340543585826
"(64, 32)",2,96,0.003,0.0001,7,13,0.38031359682002197,0.4631168562776628,0.36609583255694145,0.4344745838839249
"(64, 32)",2,96,0.003,0.0001,8,15,0.36286082639175654,0.4707077966015501,0.3496894908675945,0.4286309630081975
"(64, 32)",2,96,0.003,0.0001,9,15,0.36351255582182707,0.46467979898492745,0.35765441482321786,0.42793304686117567
"(64, 32)",2,96,0.003,0.0001,10,15,0.37000967105840216,0.47276472866890223,0.36198235352483027,0.43558362326938044
"(64, 32)",2,96,0.003,0.0002,6,15,0.3534189169281203,0.4604922317790397,0.33701578158933265,0.4212596970803576
"(64, 32)",2,96,0.003,0.0002,7,15,0.35049966005458943,0.46727781667584173,0.3330393992374122,0.4186507967951204
"(64, 32)",2,96,0.003,0.0002,8,15,0.36043195017938917,0.467917201019341,0.34916571475731556,0.4278149127793224
"(64, 32)",2,96,0.003,0.0002,9,15,0.3628541221769377,0.46146420112090614,0.3541106955600295,0.4303066568043575
"(64, 32)",2,96,0.003,0.0002,10,15,0.369567583508733,0.47132010188126816,0.35953524986893404,0.4310745302890211
"(64, 32)",2,96,0.003,0.0003,6,15,0.3547701513937089,0.4634400019367387,0.33978395099648717,0.4211069501074975
"(64, 32)",2,96,0.003,0.0003,7,15,0.3549035980237975,0.46631299590634984,0.33500183476811884,0.4174376291610299
"(64, 32)",2,96,0.003,0.0003,8,15,0.36084031587238663,0.46668238426344477,0.3487255713299113,0.4271327515121721
"(64, 32)",2,96,0.003,0.0003,9,15,0.36662151319766534,0.46524437593306256,0.35735544115645534,0.4328241526378313
"(64, 32)",2,96,0.003,0.0003,10,15,0.3692302244937833,0.4696157166800823,0.3576331348839803,0.4297786073330271
"(64, 32)",2,96,0.003,0.0004,6,13,0.3809511002606654,0.46427471949652377,0.3699980763248555,0.44022454085164164
"(64, 32)",2,96,0.003,0.0004,7,15,0.35228221663562176,0.4671536432966118,0.33358884908143094,0.41718171727847847
"(64, 32)",2,96,0.003,0.0004,8,15,0.3601157491694683,0.4679909949084361,0.3527917945088383,0.4307493290847024
"(64, 32)",2,96,0.003,0.0004,9,15,0.37029218092292665,0.4681660051357495,0.3614895190753361,0.4332934467912837
"(64, 32)",2,96,0.003,0.0004,10,15,0.3702968685988809,0.47205384220244695,0.363483798897314,0.4340516884603198
"(64, 32)",2,96,0.003,0.0005,6,15,0.35348947655920276,0.45839104109547346,0.33982141407985966,0.4185342044623849
"(64, 32)",2,96,0.003,0.0005,7,13,0.38080091291853574,0.4622184538044543,0.36822600464540767,0.4374717067266181
"(64, 32)",2,96,0.003,0.0005,8,15,0.35825751430555036,0.4636310867453707,0.34928547087908385,0.42578853730983984
"(64, 32)",2,96,0.003,0.0005,9,15,0.3641558221943914,0.46746313323942995,0.3606132916306517,0.4366570519384805
"(64, 32)",2,96,0.003,0.0005,10,15,0.3672083654444143,0.4702024381355845,0.3606114958727924,0.43274291588384795
"(64, 32)",2,96,0.003,0.0006,6,15,0.35456660962079495,0.46383332159516366,0.33453023970936907,0.4138941879441585
"(64, 32)",2,96,0.003,0.0006,7,13,0.3810043051921104,0.4626966770250445,0.36733099348063813,0.4367521351693461
"(64, 32)",2,96,0.003,0.0006,8,15,0.35895270588641537,0.46480620980582404,0.3498853041735156,0.4280780572442313
"(64, 32)",2,96,0.003,0.0006,9,15,0.3658581246219296,0.46673002730380975,0.35931439021097183,0.43514886336837016
"(64, 32)",2,96,0.003,0.0006,10,15,0.3697659778335617,0.4736117504751286,0.3620216246566374,0.4330924067499055
"(64, 32)",2,96,0.003,0.0007,6,15,0.35155474433236755,0.4600190602744472,0.33495102173215363,0.41940837022156613
"(64, 32)",2,96,0.003,0.0007,7,13,0.38046523924732667,0.4629238003699128,0.36593180644960877,0.4356378130049873
"(64, 32)",2,96,0.003,0.0007,8,15,0.3602475375788215,0.46792263584251786,0.35120328475351353,0.42932944544981594
"(64, 32)",2,96,0.003,0.0007,9,15,0.3718410792774833,0.4664013805613632,0.3612385297806134,0.4356309943007017
"(64, 32)",2,96,0.003,0.0007,10,15,0.36654606911855087,0.47354558351202897,0.3614730003242044,0.43470093689990824
"(64, 32)",2,96,0.003,0.0008,6,15,0.3488662896547963,0.456680730196973,0.3365145315153559,0.4206502447337962
"(64, 32)",2,96,0.003,0.0008,7,13,0.379862200303277,0.46239851863269743,0.36761621217180723,0.43636317952560716
"(64, 32)",2,96,0.003,0.0008,8,15,0.3608401915128617,0.46400784536623396,0.35233506665726755,0.4277003989180196
"(64, 32)",2,96,0.003,0.0008,9,15,0.3672398708857903,0.46335332300823123,0.360566621411737,0.43666900969740524
"(64, 32)",2,96,0.003,0.0008,10,15,0.3689228225899377,0.47222395082535595,0.36167982362580664,0.4350723747392424
"(64, 32)",2,96,0.003,0.0009,6,15,0.35284946535665307,0.4626924395446842,0.33746279291073344,0.42025144314862284
"(64, 32)",2,96,0.003,0.0009,7,13,0.3802089036686621,0.4621882156281207,0.3675699078436314,0.43610828309212546
